# Generated by scripts/build_dic_sidecars.py
# Source: /tmp/dectalk-oracle-src/src/dapi/src/dic/Dic_us.txt
# Built form-class mask per dictionary entry: the 29-bit
# Dic_*.txt column plus the homograph-field flags added by
# ``src/dapi/src/dic/dic_comm.c`` (P rows gain
# FC_CHARACTER|FC_HOMOGRAPH, S rows gain FC_HOMOGRAPH),
# matching the masks embedded in the runtime dtalk dictionary.
# Loaded by :func:`dectalk.dic.markers.load_formclass_lexicon`.

'EM 0x00802000
ARTURS 0x00000400
AS 0x00804002
ASAP 0x00000002
ASBESTOS 0x00000400
ASBESTUS 0x00000400
ASCERTAIN 0x00020000
ASCII 0x00000001
ASEPTIC 0x00000001
ASEXUAL 0x00000001
ASHA 0x00000400
ASHBURN 0x00000400
ASHBY 0x00000400
ASHCRAFT 0x00000400
ASHE 0x00000400
ASHEVILLE 0x00000400
ASHFORD 0x00000400
ASHLEY 0x00000400
ASHOK 0x00000400
ASHTON 0x00000400
ASHWORTH 0x00000400
ASIA 0x00000400
ASIAN 0x00000001
ASIATIC 0x00000001
ASININE 0x00000001
ASK 0x00020000
ASLANT 0x00000002
ASOCIAL 0x00000001
ASPARAGUS 0x00000400
ASPASIA 0x00000400
ASPECT 0x00000400
ASPEN 0x00000401
ASPHALT 0x00000400
ASS 0x00000400
ASSAD 0x00000400
ASSAY 0x00020400
ASSEMBLY 0x00000400
ASSESS 0x00020000
ASSET 0x00000400
ASSIGN 0x00020000
ASSIST 0x00020400
ASSISTANT 0x00000400
ASSOC. 0x00000400
ASSOCIATE|P 0x82020000
ASSOCIATE|S 0x80000400
ASSOCIATION 0x00000400
ASSOCIATIVE 0x00000001
ASST. 0x00000001
ASSUAGE 0x00020000
ASSUME 0x00020000
ASSURANCE 0x00000400
ASSURE 0x00020000
ASSUREDLY 0x00000002
ASTA 0x00000400
ASTERISK 0x00000400
ASTHMA 0x00000400
ASTHMATIC 0x00000001
ASTONISH 0x00020000
ASTORIA 0x00000400
ASTOUND 0x00020000
ASTRID 0x00000400
ASTRIDE 0x00801002
ASTRINGENCY 0x00000400
ASTRINGENT 0x00000401
ASTRODOME 0x00000400
ASTRONOMER 0x00000400
ASTUTE 0x00000001
ASYLUM 0x00000400
AT 0x00801000
ATAC 0x00000400
ATARI 0x00000401
ATAVISM 0x00000400
ATE 0x00000080
ATHANASIOS 0x00000400
ATHEISM 0x00000400
ATHEIST 0x00000400
ATHEISTIC 0x00000001
ATHENE 0x00000400
ATHENS 0x00000400
ATHERTON 0x00000400
ATHLETE 0x00000400
ATHLETIC 0x00000001
ATKINS 0x00000400
ATKINSON 0x00000400
ATLANTA 0x00000400
ATLAS 0x00000400
ATMOSPHERE 0x00000400
ATMOSPHERIC 0x00000001
ATOM 0x00000400
ATOMIZE 0x00020000
ATONAL 0x00000001
ATONALITY 0x00000400
ATROCIOUS 0x00000001
ATROPHY 0x00020000
ATROPINE 0x00000400
ATSUKO 0x00000400
ATTACH 0x00020000
ATTEMPT 0x00020400
